CS.WISC.EDU			frigg.cs.wisc.edu	
CAE.WISC.EDU			bambam.cae.wisc.edu
ECP.FR			lynx.cti.ecp.fr
NIKHEF.NL			paramount.nikhefk.nikhef.nl
BO.INFN.IT			axpbo3.bo.infn.it
DUBNA.SU			sunct2.jinr.dubna.su
TUDELFT.NL			dutikos.twi.tudelft.nl
CWUT.CZ			solar.felk.cvut.cz
UNI-OSNABRUECK.DE	nostromo.physik.Uni-Osnabrueck.DE
ANGLIA.AC.UK		firefly.parc.anglia.ac.uk
BRUNEL.AC.UK		tcws-16.brunel.ac.uk
UMICH.EDU			umcdav.physics.lsa.umich.edu
NASA.GOV			cesdis1.gsfc.nasa.gov
NCSA.UIUC			ferret.ncsa.uiuc.edu
WASHINGTON.EDU		dendrite.apl.washington.edu
DUKE.EDU			bogart1.cs.duke.edu
SINICA.EDU.TW		wsl.sinica.edu.tw	
